game_id,total_all,total_commented,total_rated,total_rated_and_commented,avgweight,numweights,poll_avg,poll_votes
470,395.0,135.0,267.0,88.0,3.5455,33.0,3.5454545454545454,33.0
471,174.0,44.0,123.0,27.0,2.3636,11.0,2.363636363636364,11.0
472,3466.0,973.0,2915.0,813.0,1.9242,264.0,1.9242424242424243,264.0
473,343.0,81.0,265.0,63.0,1.4286,28.0,1.4285714285714286,28.0
474,368.0,116.0,232.0,72.0,2.8125,32.0,2.8125,32.0
475,9578.0,2511.0,8098.0,2042.0,2.8502,861.0,2.8501742160278747,861.0
476,545.0,200.0,343.0,101.0,2.1613,31.0,2.161290322580645,31.0
477,174.0,62.0,125.0,42.0,2.3077,13.0,2.3076923076923075,13.0
478,59843.0,10828.0,56496.0,8947.0,2.0473,3865.0,2.047347994825356,3865.0
479,220.0,61.0,136.0,40.0,2.7143,14.0,2.7142857142857144,14.0
480,31.0,9.0,14.0,5.0,2.5,2.0,2.5,2.0
481,4484.0,1190.0,3729.0,980.0,2.5802,393.0,2.5801526717557253,393.0
482,576.0,171.0,446.0,125.0,1.5526,38.0,1.5526315789473684,38.0
483,16216.0,4794.0,13751.0,3313.0,3.327,1202.0,3.326955074875208,1202.0
484,1073.0,356.0,770.0,243.0,2.2642,53.0,2.2641509433962264,53.0
485,1360.0,418.0,1118.0,314.0,1.1383,94.0,1.1382978723404256,94.0
486,350.0,149.0,246.0,91.0,1.0333,30.0,1.0333333333333334,30.0
487,407.0,114.0,293.0,61.0,2.5926,27.0,2.592592592592593,27.0
488,102.0,34.0,74.0,21.0,1.0,5.0,1.0,5.0
489,142.0,44.0,106.0,31.0,1.6667,3.0,1.6666666666666667,3.0
490,471.0,207.0,281.0,170.0,2.5128,39.0,2.5128205128205128,39.0
491,4310.0,1170.0,3621.0,981.0,2.3071,407.0,2.307125307125307,407.0
492,4040.0,1224.0,3258.0,976.0,2.3596,381.0,2.3595800524934383,381.0
493,,,,,0.0,0.0,0.0,0.0
494,5700.0,1662.0,5002.0,1394.0,1.3565,474.0,1.3565400843881856,474.0
495,382.0,111.0,262.0,74.0,2.037,27.0,2.037037037037037,27.0
496,53.0,14.0,36.0,4.0,1.0,2.0,1.0,2.0
497,834.0,236.0,647.0,196.0,1.3425,73.0,1.3424657534246576,73.0
498,36.0,11.0,22.0,8.0,2.0,1.0,2.0,1.0
499,529.0,179.0,394.0,143.0,1.0,36.0,1.0,36.0
500,83.0,22.0,62.0,17.0,1.6667,3.0,1.6666666666666667,3.0
501,74.0,19.0,52.0,16.0,1.25,4.0,1.25,4.0
502,19.0,6.0,17.0,5.0,1.0,1.0,1.0,1.0
503,17865.0,4605.0,15748.0,3864.0,2.1657,1491.0,2.165660630449363,1491.0
504,240.0,56.0,162.0,31.0,1.8125,16.0,1.8125,16.0
505,162.0,47.0,117.0,37.0,1.7778,9.0,1.7777777777777777,9.0
506,717.0,189.0,514.0,142.0,1.3455,55.0,1.3454545454545457,55.0
507,273.0,85.0,179.0,52.0,2.25,20.0,2.25,20.0
508,1083.0,325.0,853.0,242.0,2.2843,102.0,2.284313725490196,102.0
509,1034.0,319.0,790.0,247.0,1.6447,76.0,1.644736842105263,76.0
